Info,playerId,playerName,state,phone,role
Player,45,RohitSharma,Maharashtra,9876543210,BATSMAN
Player,93,JaspritBumrah,Gujarat,9876512432,BOWLER
Player,33,HardikPandya,Gujarat,6367883546,ALL_ROUNDER
Player,10,SachinTendulkar,Maharastra,9874638292,BATSMAN
Player,18,ViratKohli,Delhi,7866877679,BATSMAN
Player,7,MSDhoni,Bihar,9876124350,WICKET_KEEPER
Player,3,SureshRaina,UttarPradesh,8976543210,ALL_ROUNDER
Player,8,RavindraJadeja,Saurastra,9876564329,ALL_ROUNDER
Player,333,Chrisgayle,WestIndies,9993336667,BATSMAN
Player,63,SuryaKumarYadav,Saurastra,9879787632,BATSMAN
Player,73,MohammadSiraj,Hyderabad,7576578878,BOWLER
Player,15,BhuvneshwarKumar,UttarPradesh,8998788798,BOWLER
Player,17,RishabPant,Delhi,8765432109,WICKET_KEEPER
Player,19,DineshKarthick,TamilNadu,8756386563,WICKET_KEEPER
Player,99,RaviAshwin,TamilNadu,9821095447,ALL_ROUNDER
Player,4,TNatarajan,TamilNadu,8776767667,BOWLER

